date,vehicle_interest_rate,housing_interest_rate,ipca_monthly,selic_rate
2012-01-01,1.91,1.36,3422.79,NA
2012-02-01,1.92,1.34,3438.19,NA
2012-03-01,1.9,1.31,3445.41,NA
2012-04-01,1.86,1.24,3467.46,NA
2012-05-01,1.71,1.1,3479.94,NA
2012-06-01,1.55,0.97,3482.72,NA
2012-07-01,1.58,0.95,3497.7,NA
2012-08-01,1.55,0.99,3512.04,NA
2012-09-01,1.61,1.04,3532.06,NA
2012-10-01,1.57,1.05,3552.9,NA
2012-11-01,1.56,1.06,3574.22,NA
2012-12-01,1.51,1.02,3602.46,NA
2013-01-01,1.57,1.01,3633.44,NA
2013-02-01,1.58,1,3655.24,NA
2013-03-01,1.51,0.97,3672.42,NA
2013-04-01,1.53,0.97,3692.62,NA
2013-05-01,1.51,0.95,3706.28,NA
2013-06-01,1.49,0.94,3715.92,NA
2013-07-01,1.55,0.97,3717.03,NA
2013-08-01,1.62,0.97,3725.95,NA
2013-09-01,1.64,0.99,3738.99,NA
2013-10-01,1.59,1.01,3760.3,NA
2013-11-01,1.62,1.1,3780.61,NA
2013-12-01,1.62,1.09,3815.39,NA
2014-01-01,1.72,1.1800000000000002,3836.37,NA
2014-02-01,1.8,1.13,3862.84,NA
2014-03-01,1.78,1.29,3898.38,NA
2014-04-01,1.71,1.22,3924.5,NA
2014-05-01,1.74,1.11,3942.55,NA
2014-06-01,1.74,1.08,3958.32,NA
2014-07-01,1.75,1.11,3958.72,NA
2014-08-01,1.76,1.09,3968.62,NA
2014-09-01,1.72,1.06,3991.24,NA
2014-10-01,1.74,1.05,4008,NA
2014-11-01,1.72,1.05,4028.44,NA
2014-12-01,1.6900000000000002,0.96,4059.86,NA
2015-01-01,1.8,0.98,4110.2,NA
2015-02-01,1.86,1.02,4160.34,NA
2015-03-01,1.85,1.05,4215.26,NA
2015-04-01,1.85,1.03,4245.19,NA
2015-05-01,1.86,1.11,4276.6,NA
2015-06-01,1.86,1.15,4310.39,NA
2015-07-01,1.84,1.16,4337.11,NA
2015-08-01,1.86,1.14,4346.65,NA
2015-09-01,1.92,1.1700000000000002,4370.12,NA
2015-10-01,1.94,1.1700000000000002,4405.95,NA
2015-11-01,1.96,1.1800000000000002,4450.45,NA
2015-12-01,1.95,1.11,4493.17,NA
2016-01-01,2.04,1.1800000000000002,4550.23,NA
2016-02-01,2.05,1.15,4591.18,NA
2016-03-01,2.01,1.1900000000000002,4610.92,NA
2016-04-01,2,1.1700000000000002,4639.05,NA
2016-05-01,1.97,1.23,4675.23,NA
2016-06-01,1.94,1.23,4691.59,NA
2016-07-01,1.94,1.24,4715.99,NA
2016-08-01,1.96,1.22,4736.74,NA
2016-09-01,1.95,1.22,4740.53,NA
2016-10-01,1.93,1.1700000000000002,4752.86,NA
2016-11-01,1.93,1.22,4761.42,NA
2016-12-01,1.92,1.2,4775.7,NA
2017-01-01,1.96,1.2,4793.85,NA
2017-02-01,1.93,1.1800000000000002,4809.67,NA
2017-03-01,1.86,1.14,4821.69,NA
2017-04-01,1.84,1.08,4828.44,NA
2017-05-01,1.83,1.15,4843.41,NA
2017-06-01,1.81,1.04,4832.27,NA
2017-07-01,1.79,1.02,4843.87,NA
2017-08-01,1.76,0.93,4853.07,NA
2017-09-01,1.74,0.95,4860.83,NA
2017-10-01,1.71,0.94,4881.25,NA
2017-11-01,1.6800000000000002,0.95,4894.92,NA
2017-12-01,1.6900000000000002,0.8700000000000001,4916.46,NA
2018-01-01,1.72,0.9,4930.72,NA
2018-02-01,1.7,0.88,4946.5,NA
2018-03-01,1.65,0.8600000000000001,4950.95,NA
2018-04-01,1.64,0.8600000000000001,4961.84,NA
2018-05-01,1.64,0.8300000000000001,4981.69,NA
2018-06-01,1.6700000000000002,0.8,5044.46,NA
