asset,scenario,total_cost,present_value_cost,months_until_acquisition,opportunity_cost,monthly_cash_flow
vehicle,consortium_early,91920,43985.549984262216,12,-36014.450015737784,510.6666666666667
vehicle,consortium_mid,91920,43985.549984262216,60,-36014.450015737784,510.6666666666667
vehicle,consortium_late,91920,43985.549984262216,120,-36014.450015737784,510.6666666666667
vehicle,financing,125642.44218307325,100985.28420780659,1,20985.284207806588,2673.243450703686
vehicle,autonomous_savings,60570.48524442625,41617.35849888,84,-38382.64150112,721.0772052907887
housing,consortium_early,358200,171405.83120499048,12,-128594.16879500952,1990
housing,consortium_mid,358200,171405.83120499048,60,-128594.16879500952,1990
housing,consortium_late,358200,171405.83120499048,120,-128594.16879500952,1990
housing,financing,1226528.1650606564,353999.0448229769,1,53999.044822976924,3484.4550143768647
housing,autonomous_savings,227139.3196665984,156065.09437079995,84,-143934.90562920005,2704.039519840457
