date,vehicle_interest_rate,vehicle_term_months,housing_interest_rate,housing_term_months,source_dataset,source_url
2012-01-01,1.91,45.87,1.36,217.09,BCB SGS API,https://api.bcb.gov.br
2012-02-01,1.92,45.5,1.34,208.02,BCB SGS API,https://api.bcb.gov.br
2012-03-01,1.9,44.8,1.31,225.36,BCB SGS API,https://api.bcb.gov.br
2012-04-01,1.86,44.43,1.24,225.42000000000002,BCB SGS API,https://api.bcb.gov.br
2012-05-01,1.71,42.730000000000004,1.1,249.26999999999998,BCB SGS API,https://api.bcb.gov.br
2012-06-01,1.55,42.33,0.97,271.51,BCB SGS API,https://api.bcb.gov.br
2012-07-01,1.58,42.1,0.9500000000000001,278.98999999999995,BCB SGS API,https://api.bcb.gov.br
2012-08-01,1.55,42,0.99,266.17,BCB SGS API,https://api.bcb.gov.br
2012-09-01,1.61,41.93,1.04,253.26,BCB SGS API,https://api.bcb.gov.br
2012-10-01,1.57,42.2,1.05,250.55,BCB SGS API,https://api.bcb.gov.br
2012-11-01,1.56,42.6,1.06,246.76999999999998,BCB SGS API,https://api.bcb.gov.br
2012-12-01,1.51,42.730000000000004,1.02,251.31,BCB SGS API,https://api.bcb.gov.br
2013-01-01,1.57,42.57,1.01,243.35000000000002,BCB SGS API,https://api.bcb.gov.br
2013-02-01,1.58,42.8,1,244.36,BCB SGS API,https://api.bcb.gov.br
2013-03-01,1.51,42.13,0.97,255.33,BCB SGS API,https://api.bcb.gov.br
2013-04-01,1.53,41.93,0.97,252.02,BCB SGS API,https://api.bcb.gov.br
2013-05-01,1.51,41.67,0.9500000000000001,260.84000000000003,BCB SGS API,https://api.bcb.gov.br
2013-06-01,1.49,41.47,0.9400000000000001,269.2,BCB SGS API,https://api.bcb.gov.br
2013-07-01,1.55,42,0.97,260.15000000000003,BCB SGS API,https://api.bcb.gov.br
2013-08-01,1.62,42.6,0.97,263.14000000000004,BCB SGS API,https://api.bcb.gov.br
2013-09-01,1.6400000000000001,42.33,0.99,256.8,BCB SGS API,https://api.bcb.gov.br
2013-10-01,1.59,41.6,1.01,256.21,BCB SGS API,https://api.bcb.gov.br
2013-11-01,1.62,42.17,1.1,246.97,BCB SGS API,https://api.bcb.gov.br
2013-12-01,1.62,42.03,1.09,242.97,BCB SGS API,https://api.bcb.gov.br
